Controlador de execução do SIMAN.

0.0010684802 Horas>
                                      ARENA Simulation Results
                                     Matheus - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :11/24/2018
Analista: Bernardelli                                                 Data de revisão do modelo:11/24/2018

Replicação terminada no tempo de      : 0.0010684802 Horas 
Unidade de Tempo Base: Horas

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
___________________________________________________________________________________________________

CPU 1.Queue.WaitingTime                         --         --         --         --          0
CPU 1.Queue.WaitingCost                         --         --         --         --          0
CPU 3.Queue.WaitingTime                         --         --         --         --          0
CPU 3.Queue.WaitingCost                         --         --         --         --          0
CPU 8.Queue.WaitingTime                         --         --         --         --          0
CPU 8.Queue.WaitingCost                         --         --         --         --          0
CPU 6.Queue.WaitingTime                         --         --         --         --          0
CPU 6.Queue.WaitingCost                         --         --         --         --          0
CPU 5.Queue.WaitingTime                         --         --         --         --          0
CPU 5.Queue.WaitingCost                         --         --         --         --          0

                                     VARIÁVEIS DISCRETAS

Identificador                                 Média   Meia Largura  Mínimo    Máximo   Valor Final
___________________________________________________________________________________________________

tempoTotal Value                            5.3406E-04 (Insuf)    .00000     .00107     .00107    
Fluxos de Dados.WIP                         .95490     (Insuf)    .00000     8.0000     2.0000    
Máquina Iniciador.NumberBusy                .00000     (Insuf)    .00000     .00000     .00000    
Máquina Iniciador.NumberScheduled           1.0000     (Insuf)    1.0000     1.0000     1.0000    
Máquina Iniciador.Utilization               .00000     (Insuf)    .00000     .00000     .00000    
Operador 4.NumberBusy                       .20027     (Insuf)    .00000     1.0000     .00000    
Operador 4.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operador 4.Utilization                      .20027     (Insuf)    .00000     1.0000     .00000    
Operador 3.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Operador 3.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operador 3.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Operador 2.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Operador 2.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operador 2.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Operador 1.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Operador 1.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Operador 1.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource Backup 1.NumberBusy                .19996     (Insuf)    .00000     1.0000     1.0000    
Resource Backup 1.NumberScheduled           1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource Backup 1.Utilization               .19996     (Insuf)    .00000     1.0000     1.0000    
Resource Backup 2.NumberBusy                .20014     (Insuf)    .00000     1.0000     .00000    
Resource Backup 2.NumberScheduled           1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource Backup 2.Utilization               .20014     (Insuf)    .00000     1.0000     .00000    
Resource Backup 3.NumberBusy                .20002     (Insuf)    .00000     1.0000     .00000    
Resource Backup 3.NumberScheduled           1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource Backup 3.Utilization               .20002     (Insuf)    .00000     1.0000     .00000    
CPU 21.Queue.NumberInQueue                  .00248     (Insuf)    .00000     1.0000     .00000    
CPU 20.Queue.NumberInQueue                  .00230     (Insuf)    .00000     1.0000     .00000    
CPU 2.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 4.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 7.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 9.Queue.NumberInQueue                   .00000     (Insuf)    .00000     .00000     .00000    
CPU 19.Queue.NumberInQueue                  .00247     (Insuf)    .00000     1.0000     .00000    
CPU 18.Queue.NumberInQueue                  .00377     (Insuf)    .00000     1.0000     .00000    
CPU 17.Queue.NumberInQueue                  .00321     (Insuf)    .00000     2.0000     .00000    
CPU 16.Queue.NumberInQueue                  .00358     (Insuf)    .00000     1.0000     .00000    
